Gene_ID,Symbol,Annotation_RM
ENSMUSG00000001506,Col1a1,Type 1 Collagen
ENSMUSG00000029661,Col1a2,Type 1 Collagen
ENSMUSG00000022483,Col2a1,Type 2 Collagen
ENSMUSG00000031274,Col4a5,Type 4 Collagen
ENSMUSG00000031273,Col4a6,Type 4 Collagen
ENSMUSG00000026837,Col5a1,Type 5 Collagen
ENSMUSG00000001119,Col6a1,Other Type Collagen
ENSMUSG00000020241,Col6a2,Other Type Collagen
ENSMUSG00000048126,Col6a3,Other Type Collagen
ENSMUSG00000028626,Col9a2,Other Type Collagen
ENSMUSG00000027570,Col9a3,Other Type Collagen
ENSMUSG00000027966,Col11a1,Other Type Collagen
ENSMUSG00000024330,Col11a2,Other Type Collagen
ENSMUSG00000022371,Col14a1,Other Type Collagen
ENSMUSG00000040690,Col16a1,Other Type Collagen
ENSMUSG00000001435,Col18a1,Other Type Collagen
ENSMUSG00000045672,Col27a1,Other Type Collagen
ENSMUSG00000032334,Loxl1,Collagen Biosynthesis & Organisation
ENSMUSG00000023191,P3h3,Collagen Biosynthesis & Organisation
ENSMUSG00000029718,Pcolce,Collagen Biosynthesis & Organisation
ENSMUSG00000021613,Hapln1,ECM Component
ENSMUSG00000026639,Lamb3,ECM Component
ENSMUSG00000021806,Nid2,ECM Component
ENSMUSG00000028364,Tnc,ECM Component
ENSMUSG00000017344,Vtn,ECM Component
