abundance	gene
ENSMUSG00000000001.4	83.719278	ENSMUSG00000000001.4
ENSMUSG00000000003.15	0	ENSMUSG00000000003.15
ENSMUSG00000000028.15	3.067761	ENSMUSG00000000028.15
ENSMUSG00000000037.17	0.076981	ENSMUSG00000000037.17
ENSMUSG00000000049.11	12.323511	ENSMUSG00000000049.11
ENSMUSG00000000056.7	16.281548	ENSMUSG00000000056.7
ENSMUSG00000000058.6	3.44554	ENSMUSG00000000058.6
ENSMUSG00000000078.7	51.618824	ENSMUSG00000000078.7
ENSMUSG00000000085.16	10.495015	ENSMUSG00000000085.16
ENSMUSG00000000088.7	156.503451	ENSMUSG00000000088.7
ENSMUSG00000000093.6	2.005498	ENSMUSG00000000093.6
ENSMUSG00000000094.12	0.242892	ENSMUSG00000000094.12
ENSMUSG00000000103.12	0	ENSMUSG00000000103.12
ENSMUSG00000000120.6	0.191399	ENSMUSG00000000120.6
ENSMUSG00000000125.5	0.192106	ENSMUSG00000000125.5
ENSMUSG00000000126.11	0.58292	ENSMUSG00000000126.11
ENSMUSG00000000127.15	13.377199	ENSMUSG00000000127.15
ENSMUSG00000000131.15	59.992439	ENSMUSG00000000131.15
ENSMUSG00000000134.17	14.232056	ENSMUSG00000000134.17
ENSMUSG00000000142.15	2.018663	ENSMUSG00000000142.15
ENSMUSG00000000148.17	4.646728	ENSMUSG00000000148.17
ENSMUSG00000000149.10	18.520047	ENSMUSG00000000149.10
ENSMUSG00000000154.16	20.224412	ENSMUSG00000000154.16
ENSMUSG00000000157.16	0	ENSMUSG00000000157.16
ENSMUSG00000000159.16	2.931586	ENSMUSG00000000159.16
ENSMUSG00000000167.14	0.517066	ENSMUSG00000000167.14
ENSMUSG00000000168.9	18.036851	ENSMUSG00000000168.9
ENSMUSG00000000171.5	55.076069	ENSMUSG00000000171.5
ENSMUSG00000000182.9	0	ENSMUSG00000000182.9
ENSMUSG00000000183.6	0.007262	ENSMUSG00000000183.6
ENSMUSG00000000184.12	2.622374	ENSMUSG00000000184.12
ENSMUSG00000000194.13	54.924532	ENSMUSG00000000194.13
ENSMUSG00000000197.8	0	ENSMUSG00000000197.8
ENSMUSG00000000202.9	0	ENSMUSG00000000202.9
ENSMUSG00000000204.16	0.82312	ENSMUSG00000000204.16
ENSMUSG00000000214.11	0.976009	ENSMUSG00000000214.11
ENSMUSG00000000215.11	0.77539	ENSMUSG00000000215.11
ENSMUSG00000000216.8	1.060209	ENSMUSG00000000216.8
ENSMUSG00000000223.13	0.923253	ENSMUSG00000000223.13
ENSMUSG00000000244.17	0.359947	ENSMUSG00000000244.17
ENSMUSG00000000247.11	6.990737	ENSMUSG00000000247.11
ENSMUSG00000000248.16	0.015818	ENSMUSG00000000248.16
ENSMUSG00000000253.13	11.087233	ENSMUSG00000000253.13
ENSMUSG00000000263.15	0	ENSMUSG00000000263.15
ENSMUSG00000000266.11	1.700512	ENSMUSG00000000266.11
ENSMUSG00000000275.16	14.000812	ENSMUSG00000000275.16
ENSMUSG00000000276.11	1.834202	ENSMUSG00000000276.11
ENSMUSG00000000278.10	102.994966	ENSMUSG00000000278.10
ENSMUSG00000000282.12	8.15916	ENSMUSG00000000282.12
ENSMUSG00000000290.13	2.702341	ENSMUSG00000000290.13
ENSMUSG00000000295.13	4.804622	ENSMUSG00000000295.13
ENSMUSG00000000296.8	1.159635	ENSMUSG00000000296.8
ENSMUSG00000000301.16	7.09007	ENSMUSG00000000301.16
ENSMUSG00000000303.12	16.909031	ENSMUSG00000000303.12
ENSMUSG00000000305.12	0.478749	ENSMUSG00000000305.12
ENSMUSG00000000308.14	1.785105	ENSMUSG00000000308.14
ENSMUSG00000000317.11	0.245976	ENSMUSG00000000317.11
ENSMUSG00000000318.16	0.534448	ENSMUSG00000000318.16
ENSMUSG00000000320.10	0.484168	ENSMUSG00000000320.10
ENSMUSG00000000325.16	32.193877	ENSMUSG00000000325.16
ENSMUSG00000000326.13	29.776446	ENSMUSG00000000326.13
ENSMUSG00000000339.14	10.109559	ENSMUSG00000000339.14
ENSMUSG00000000340.10	3.461299	ENSMUSG00000000340.10
ENSMUSG00000000346.9	51.037542	ENSMUSG00000000346.9
ENSMUSG00000000355.13	25.481226	ENSMUSG00000000355.13
ENSMUSG00000000359.3	1.39482	ENSMUSG00000000359.3
ENSMUSG00000000365.9	0.408908	ENSMUSG00000000365.9
ENSMUSG00000000374.8	8.068782	ENSMUSG00000000374.8
ENSMUSG00000000378.15	33.00486	ENSMUSG00000000378.15
ENSMUSG00000000381.10	0.117019	ENSMUSG00000000381.10
ENSMUSG00000000384.15	15.472027	ENSMUSG00000000384.15
ENSMUSG00000000385.8	24.101415	ENSMUSG00000000385.8
ENSMUSG00000000392.17	0.098935	ENSMUSG00000000392.17
ENSMUSG00000000394.15	0	ENSMUSG00000000394.15
ENSMUSG00000000399.10	41.129747	ENSMUSG00000000399.10
ENSMUSG00000000402.2	0.248159	ENSMUSG00000000402.2
ENSMUSG00000000409.14	0.402608	ENSMUSG00000000409.14
ENSMUSG00000000411.7	0.216899	ENSMUSG00000000411.7
ENSMUSG00000000416.16	0.39869	ENSMUSG00000000416.16
ENSMUSG00000000420.15	22.592155	ENSMUSG00000000420.15
ENSMUSG00000000435.1	0	ENSMUSG00000000435.1
ENSMUSG00000000439.9	4.666709	ENSMUSG00000000439.9
ENSMUSG00000000440.12	74.010336	ENSMUSG00000000440.12
ENSMUSG00000000441.17	84.642004	ENSMUSG00000000441.17
ENSMUSG00000000486.13	2.894853	ENSMUSG00000000486.13
ENSMUSG00000000489.7	7.143519	ENSMUSG00000000489.7
ENSMUSG00000000530.16	53.387271	ENSMUSG00000000530.16
ENSMUSG00000000531.5	5.246749	ENSMUSG00000000531.5
ENSMUSG00000000532.11	7.371581	ENSMUSG00000000532.11
ENSMUSG00000000538.18	5.933865	ENSMUSG00000000538.18
ENSMUSG00000000544.14	0.155078	ENSMUSG00000000544.14
ENSMUSG00000000552.10	2.125458	ENSMUSG00000000552.10
ENSMUSG00000000555.8	30.125642	ENSMUSG00000000555.8
ENSMUSG00000000560.9	0.022267	ENSMUSG00000000560.9
ENSMUSG00000000561.14	15.142444	ENSMUSG00000000561.14
ENSMUSG00000000562.5	0	ENSMUSG00000000562.5
ENSMUSG00000000563.17	189.557624	ENSMUSG00000000563.17
ENSMUSG00000000567.5	1.027601	ENSMUSG00000000567.5
ENSMUSG00000000568.15	95.180332	ENSMUSG00000000568.15
ENSMUSG00000000579.14	0.983383	ENSMUSG00000000579.14
ENSMUSG00000000581.8	14.849381	ENSMUSG00000000581.8
ENSMUSG00000000594.7	110.542635	ENSMUSG00000000594.7
ENSMUSG00000000600.15	6.29123	ENSMUSG00000000600.15
ENSMUSG00000000605.9	8.733676	ENSMUSG00000000605.9
ENSMUSG00000000606.18	0	ENSMUSG00000000606.18
ENSMUSG00000000617.14	0	ENSMUSG00000000617.14
