abundance	gene
ENSMUSG00000000001.4	91.225885	ENSMUSG00000000001.4
ENSMUSG00000000003.15	0	ENSMUSG00000000003.15
ENSMUSG00000000028.15	4.697164	ENSMUSG00000000028.15
ENSMUSG00000000037.17	0.016923	ENSMUSG00000000037.17
ENSMUSG00000000049.11	0.385862	ENSMUSG00000000049.11
ENSMUSG00000000056.7	14.367442	ENSMUSG00000000056.7
ENSMUSG00000000058.6	3.674578	ENSMUSG00000000058.6
ENSMUSG00000000078.7	65.739022	ENSMUSG00000000078.7
ENSMUSG00000000085.16	10.515464	ENSMUSG00000000085.16
ENSMUSG00000000088.7	171.524103	ENSMUSG00000000088.7
ENSMUSG00000000093.6	1.135683	ENSMUSG00000000093.6
ENSMUSG00000000094.12	0.254706	ENSMUSG00000000094.12
ENSMUSG00000000103.12	0	ENSMUSG00000000103.12
ENSMUSG00000000120.6	0.171791	ENSMUSG00000000120.6
ENSMUSG00000000125.5	0.168576	ENSMUSG00000000125.5
ENSMUSG00000000126.11	0.724654	ENSMUSG00000000126.11
ENSMUSG00000000127.15	13.297343	ENSMUSG00000000127.15
ENSMUSG00000000131.15	80.722001	ENSMUSG00000000131.15
ENSMUSG00000000134.17	18.605171	ENSMUSG00000000134.17
ENSMUSG00000000142.15	5.332291	ENSMUSG00000000142.15
ENSMUSG00000000148.17	4.695517	ENSMUSG00000000148.17
ENSMUSG00000000149.10	19.304159	ENSMUSG00000000149.10
ENSMUSG00000000154.16	20.000597	ENSMUSG00000000154.16
ENSMUSG00000000157.16	0	ENSMUSG00000000157.16
ENSMUSG00000000159.16	0.240817	ENSMUSG00000000159.16
ENSMUSG00000000167.14	0.355122	ENSMUSG00000000167.14
ENSMUSG00000000168.9	26.609307	ENSMUSG00000000168.9
ENSMUSG00000000171.5	51.164353	ENSMUSG00000000171.5
ENSMUSG00000000182.9	0	ENSMUSG00000000182.9
ENSMUSG00000000183.6	0.005155	ENSMUSG00000000183.6
ENSMUSG00000000184.12	1.809861	ENSMUSG00000000184.12
ENSMUSG00000000194.13	84.332263	ENSMUSG00000000194.13
ENSMUSG00000000197.8	0	ENSMUSG00000000197.8
ENSMUSG00000000202.9	0.077294	ENSMUSG00000000202.9
ENSMUSG00000000204.16	1.413064	ENSMUSG00000000204.16
ENSMUSG00000000214.11	1.120785	ENSMUSG00000000214.11
ENSMUSG00000000215.11	0.913419	ENSMUSG00000000215.11
ENSMUSG00000000216.8	1.365582	ENSMUSG00000000216.8
ENSMUSG00000000223.13	0.856544	ENSMUSG00000000223.13
ENSMUSG00000000244.17	0.22429	ENSMUSG00000000244.17
ENSMUSG00000000247.11	7.817894	ENSMUSG00000000247.11
ENSMUSG00000000248.16	0.010531	ENSMUSG00000000248.16
