counts	gene
1	8231	ENSMUSG00000000001.4
2	0	ENSMUSG00000000003.15
3	169	ENSMUSG00000000028.15
4	6	ENSMUSG00000000037.17
5	119	ENSMUSG00000000049.11
6	702	ENSMUSG00000000056.7
7	224	ENSMUSG00000000058.6
8	4114	ENSMUSG00000000078.7
9	190	ENSMUSG00000000085.16
10	2921.65	ENSMUSG00000000088.7
11	181	ENSMUSG00000000093.6
12	28	ENSMUSG00000000094.12
13	0	ENSMUSG00000000103.12
14	22.159	ENSMUSG00000000120.6
15	4	ENSMUSG00000000125.5
16	25	ENSMUSG00000000126.11
17	1120	ENSMUSG00000000127.15
18	956.999	ENSMUSG00000000131.15
19	594	ENSMUSG00000000134.17
20	117	ENSMUSG00000000142.15
21	320	ENSMUSG00000000148.17
22	1095.976	ENSMUSG00000000149.10
23	802	ENSMUSG00000000154.16
24	1	ENSMUSG00000000157.16
25	44	ENSMUSG00000000159.16
26	20	ENSMUSG00000000167.14
27	1132.001	ENSMUSG00000000168.9
28	2323	ENSMUSG00000000171.5
29	0	ENSMUSG00000000182.9
30	0	ENSMUSG00000000183.6
31	222	ENSMUSG00000000184.12
32	1017.336	ENSMUSG00000000194.13
33	1	ENSMUSG00000000197.8
34	3	ENSMUSG00000000202.9
35	102.644	ENSMUSG00000000204.16
36	45	ENSMUSG00000000214.11
37	0	ENSMUSG00000000215.11
38	46	ENSMUSG00000000216.8
39	92.191	ENSMUSG00000000223.13
40	18.021	ENSMUSG00000000244.17
41	219	ENSMUSG00000000247.11
42	1.101	ENSMUSG00000000248.16
43	512	ENSMUSG00000000253.13
44	0	ENSMUSG00000000263.15
45	171	ENSMUSG00000000266.11
46	1527.788	ENSMUSG00000000275.16
47	198.359	ENSMUSG00000000276.11
48	3683	ENSMUSG00000000278.10
49	532	ENSMUSG00000000282.12
50	132	ENSMUSG00000000290.13
51	123	ENSMUSG00000000295.13
52	18	ENSMUSG00000000296.8
53	46.001	ENSMUSG00000000301.16
54	773	ENSMUSG00000000303.12
55	28	ENSMUSG00000000305.12
56	50	ENSMUSG00000000308.14
57	36	ENSMUSG00000000317.11
58	10.015	ENSMUSG00000000318.16
59	44	ENSMUSG00000000320.10
60	852	ENSMUSG00000000325.16
61	1634.253	ENSMUSG00000000326.13
62	483	ENSMUSG00000000339.14
63	318.801	ENSMUSG00000000340.10
64	3352.676	ENSMUSG00000000346.9
65	377.999	ENSMUSG00000000355.13
66	19	ENSMUSG00000000359.3
67	38.999	ENSMUSG00000000365.9
68	788	ENSMUSG00000000374.8
69	1401.999	ENSMUSG00000000378.15
70	0	ENSMUSG00000000381.10
71	536.561	ENSMUSG00000000384.15
72	925.999	ENSMUSG00000000385.8
73	9.424	ENSMUSG00000000392.17
74	3	ENSMUSG00000000394.15
75	1948	ENSMUSG00000000399.10
