counts	gene
1	8170	ENSMUSG00000000001.4
2	0	ENSMUSG00000000003.15
3	243	ENSMUSG00000000028.15
4	2	ENSMUSG00000000037.17
5	509	ENSMUSG00000000049.11
6	745	ENSMUSG00000000056.7
7	241	ENSMUSG00000000058.6
8	5280	ENSMUSG00000000078.7
9	251.001	ENSMUSG00000000085.16
10	2890.903	ENSMUSG00000000088.7
11	180	ENSMUSG00000000093.6
12	28	ENSMUSG00000000094.12
13	0	ENSMUSG00000000103.12
14	22.245	ENSMUSG00000000120.6
15	8	ENSMUSG00000000125.5
16	63	ENSMUSG00000000126.11
17	952	ENSMUSG00000000127.15
18	1163.085	ENSMUSG00000000131.15
19	719	ENSMUSG00000000134.17
20	252	ENSMUSG00000000142.15
21	379	ENSMUSG00000000148.17
22	1436	ENSMUSG00000000149.10
23	1180	ENSMUSG00000000154.16
24	0	ENSMUSG00000000157.16
25	139	ENSMUSG00000000159.16
26	25	ENSMUSG00000000167.14
27	1096.999	ENSMUSG00000000168.9
28	2902	ENSMUSG00000000171.5
29	0	ENSMUSG00000000182.9
30	0	ENSMUSG00000000183.6
31	242	ENSMUSG00000000184.12
32	1740.579	ENSMUSG00000000194.13
33	0	ENSMUSG00000000197.8
34	3	ENSMUSG00000000202.9
35	124.151	ENSMUSG00000000204.16
36	41	ENSMUSG00000000214.11
37	3	ENSMUSG00000000215.11
38	68	ENSMUSG00000000216.8
39	195.15	ENSMUSG00000000223.13
40	20.168	ENSMUSG00000000244.17
41	213.999	ENSMUSG00000000247.11
42	0	ENSMUSG00000000248.16
43	439.999	ENSMUSG00000000253.13
44	0	ENSMUSG00000000263.15
45	133	ENSMUSG00000000266.11
46	2114.138	ENSMUSG00000000275.16
47	318.076	ENSMUSG00000000276.11
48	5559	ENSMUSG00000000278.10
49	746	ENSMUSG00000000282.12
50	134	ENSMUSG00000000290.13
51	114	ENSMUSG00000000295.13
52	36	ENSMUSG00000000296.8
53	64	ENSMUSG00000000301.16
54	2271	ENSMUSG00000000303.12
55	51	ENSMUSG00000000305.12
56	84	ENSMUSG00000000308.14
57	46	ENSMUSG00000000317.11
58	8.638	ENSMUSG00000000318.16
59	48.112	ENSMUSG00000000320.10
60	1006.999	ENSMUSG00000000325.16
61	1478.857	ENSMUSG00000000326.13
62	499	ENSMUSG00000000339.14
63	372.956	ENSMUSG00000000340.10
64	3451.754	ENSMUSG00000000346.9
65	382.999	ENSMUSG00000000355.13
66	22.001	ENSMUSG00000000359.3
67	59	ENSMUSG00000000365.9
68	1034	ENSMUSG00000000374.8
69	1257.001	ENSMUSG00000000378.15
70	0	ENSMUSG00000000381.10
71	637.196	ENSMUSG00000000384.15
72	1959	ENSMUSG00000000385.8
73	0	ENSMUSG00000000392.17
74	0	ENSMUSG00000000394.15
75	1668	ENSMUSG00000000399.10
76	28.087	ENSMUSG00000000402.2
77	27	ENSMUSG00000000409.14
78	2	ENSMUSG00000000411.7
79	14	ENSMUSG00000000416.16
80	2614	ENSMUSG00000000420.15
81	0	ENSMUSG00000000435.1
82	469	ENSMUSG00000000439.9
83	3041	ENSMUSG00000000440.12
84	2349.999	ENSMUSG00000000441.17
85	42	ENSMUSG00000000486.13
86	420	ENSMUSG00000000489.7
87	811	ENSMUSG00000000530.16
88	216	ENSMUSG00000000531.5
89	627	ENSMUSG00000000532.11
90	569.001	ENSMUSG00000000538.18
91	13	ENSMUSG00000000544.14
92	138	ENSMUSG00000000552.10
93	2888	ENSMUSG00000000555.8
94	12.03	ENSMUSG00000000560.9
95	952.692	ENSMUSG00000000561.14
96	2.478	ENSMUSG00000000562.5
97	4661.77	ENSMUSG00000000563.17
98	59	ENSMUSG00000000567.5
99	2478.313	ENSMUSG00000000568.15
100	8.348	ENSMUSG00000000579.14
101	1323	ENSMUSG00000000581.8
102	13247	ENSMUSG00000000594.7
103	651.51	ENSMUSG00000000600.15
104	994.001	ENSMUSG00000000605.9
105	1.068	ENSMUSG00000000606.18
106	0	ENSMUSG00000000617.14
107	6.002	ENSMUSG00000000627.15
108	1404	ENSMUSG00000000628.10
109	2294.146	ENSMUSG00000000631.20
110	4	ENSMUSG00000000632.13
111	333.001	ENSMUSG00000000673.9
112	66	ENSMUSG00000000682.7
113	41	ENSMUSG00000000686.11
114	19	ENSMUSG00000000690.5
115	51	ENSMUSG00000000693.10
116	1.133	ENSMUSG00000000701.8
117	48	ENSMUSG00000000706.16
118	565	ENSMUSG00000000708.14
119	2529	ENSMUSG00000000711.3
120	0	ENSMUSG00000000724.10
121	65	ENSMUSG00000000730.13
122	0	ENSMUSG00000000731.15
123	54	ENSMUSG00000000732.9
124	803	ENSMUSG00000000738.18
125	38.272	ENSMUSG00000000739.14
126	3636.796	ENSMUSG00000000740.12
127	2104	ENSMUSG00000000743.9
128	839	ENSMUSG00000000751.13
129	197	ENSMUSG00000000753.15
130	597.681	ENSMUSG00000000759.14
131	2	ENSMUSG00000000766.18
132	537	ENSMUSG00000000776.13
133	85	ENSMUSG00000000782.16
134	7836.926	ENSMUSG00000000787.12
135	14	ENSMUSG00000000791.9
136	190	ENSMUSG00000000792.2
137	45	ENSMUSG00000000794.9
138	1153.001	ENSMUSG00000000804.14
139	6072.999	ENSMUSG00000000805.18
140	108	ENSMUSG00000000811.13
141	50	ENSMUSG00000000817.10
142	625.999	ENSMUSG00000000823.16
143	1810	ENSMUSG00000000826.16
144	1588	ENSMUSG00000000827.18
145	1424.57	ENSMUSG00000000838.17
146	11	ENSMUSG00000000861.15
147	0	ENSMUSG00000000869.12
148	952.914	ENSMUSG00000000876.11
149	1767	ENSMUSG00000000881.12
150	79.001	ENSMUSG00000000884.17
151	1	ENSMUSG00000000889.8
152	534	ENSMUSG00000000901.17
153	1861.634	ENSMUSG00000000902.13
154	3	ENSMUSG00000000903.3
155	1226.401	ENSMUSG00000000915.15
156	136	ENSMUSG00000000916.15
157	504	ENSMUSG00000000934.9
158	1602	ENSMUSG00000000938.11
159	3	ENSMUSG00000000942.10
160	43.713	ENSMUSG00000000948.16
161	1528.256	ENSMUSG00000000957.11
162	1045.999	ENSMUSG00000000958.10
163	783	ENSMUSG00000000959.7
164	246.118	ENSMUSG00000000976.13
165	15	ENSMUSG00000000982.5
166	1	ENSMUSG00000000983.13
167	45	ENSMUSG00000001014.6
168	1266.366	ENSMUSG00000001016.12
169	2558	ENSMUSG00000001017.15
170	1132	ENSMUSG00000001018.15
171	112	ENSMUSG00000001020.8
172	7	ENSMUSG00000001021.13
173	25	ENSMUSG00000001023.10
174	14777	ENSMUSG00000001025.8
175	10	ENSMUSG00000001027.7
176	142	ENSMUSG00000001029.15
177	312	ENSMUSG00000001034.17
178	889.999	ENSMUSG00000001036.17
179	175	ENSMUSG00000001039.12
180	1373	ENSMUSG00000001052.15
181	336	ENSMUSG00000001053.15
182	694.001	ENSMUSG00000001054.9
183	1114	ENSMUSG00000001056.3
184	251.604	ENSMUSG00000001062.18
185	270.001	ENSMUSG00000001065.15
186	7	ENSMUSG00000001076.7
187	540.999	ENSMUSG00000001082.12
188	1340	ENSMUSG00000001089.14
189	22	ENSMUSG00000001095.5
190	5650.993	ENSMUSG00000001098.15
191	1270.371	ENSMUSG00000001100.10
192	0	ENSMUSG00000001103.7
193	1709	ENSMUSG00000001105.15
194	361	ENSMUSG00000001119.7
195	121	ENSMUSG00000001120.15
196	13099	ENSMUSG00000001123.15
197	1204.123	ENSMUSG00000001127.12
198	30	ENSMUSG00000001128.7
199	186	ENSMUSG00000001131.11
200	205	ENSMUSG00000001134.9
201	398.736	ENSMUSG00000001138.13
202	657.977	ENSMUSG00000001143.13
203	504	ENSMUSG00000001150.7
204	268	ENSMUSG00000001151.10
205	202.999	ENSMUSG00000001155.13
206	387	ENSMUSG00000001156.9
207	681.097	ENSMUSG00000001157.13
208	664	ENSMUSG00000001158.13
209	283.852	ENSMUSG00000001166.17
210	0	ENSMUSG00000001168.16
211	224.493	ENSMUSG00000001173.15
212	15222	ENSMUSG00000001175.15
213	1809.001	ENSMUSG00000001211.15
214	4	ENSMUSG00000001225.12
215	44	ENSMUSG00000001227.12
216	549.571	ENSMUSG00000001228.14
217	553	ENSMUSG00000001229.9
218	365.573	ENSMUSG00000001240.13
219	1081.001	ENSMUSG00000001247.16
220	976	ENSMUSG00000001248.15
221	824.001	ENSMUSG00000001249.14
222	0	ENSMUSG00000001260.10
223	2201.699	ENSMUSG00000001270.9
224	1341	ENSMUSG00000001280.13
225	87	ENSMUSG00000001281.10
226	388.56	ENSMUSG00000001285.12
227	223	ENSMUSG00000001288.15
228	2605.176	ENSMUSG00000001289.12
229	552	ENSMUSG00000001300.16
230	343	ENSMUSG00000001305.5
231	2996	ENSMUSG00000001313.12
232	715.591	ENSMUSG00000001323.17
233	101	ENSMUSG00000001333.9
234	171	ENSMUSG00000001334.9
235	492	ENSMUSG00000001348.15
236	8	ENSMUSG00000001349.5
237	563.001	ENSMUSG00000001366.14
238	608.902	ENSMUSG00000001376.17
239	1142	ENSMUSG00000001380.7
240	1554	ENSMUSG00000001383.9
241	619.336	ENSMUSG00000001403.13
242	1385.788	ENSMUSG00000001415.10
243	4602.212	ENSMUSG00000001416.13
244	4594.134	ENSMUSG00000001418.13
245	1966.999	ENSMUSG00000001419.17
