	NG.16677_M53_iso_preg_placenta_lib271061_6029_8_1	NG.16677_M55_aly6g_preg_placenta_lib271064_6029_8_1	NG.16677_M56_aly6g_preg_placenta_lib280131_6085_1_1	NG.16677_M62_iso_preg_placenta_lib271062_6029_4_1	NG.16677_M63_aly6g_preg_placenta_lib280132_6085_1_1	NG.16677_M65_iso_preg_placenta_lib280130_6085_1_1
1	7896	8231	11529	8170	12112	12089
2	0	0	0	0	0	0
3	149	169	217	243	329.004	261.039
4	6	6	2	2	2	7
5	363	119	67	509	16	1494
6	719	702	952	745	980	1270
7	198	224	238	241	336	286
8	6153.999	4114	9063	5280	9399	9016
9	231	190	307	251.001	331.999	392.998
10	1940	2921.65	3431	2890.903	2995.894	3302
11	212	181	295	180	169	455
12	21	28	38	28	31	21
13	0	0	0	0	0	0
14	19.094	22.159	17.144	22.245	24.126	47.339
15	17	4	20	8	21	22
16	56	25	44	63	98	96
17	1049	1120	1603	952	1515.999	1329
18	1108	956.999	1635.226	1163.085	1972.054	1661.641
19	687	594	925.001	719	1078.999	1166
20	197	117	248	252	481	306.001
21	443	320	498	379	635	584
22	1836	1095.976	2063	1436	2694	2719
23	732	802	534	1180	989	1745
24	0	1	2	0	0	0
25	63	44	38.363	139	17	231
26	14	20	20	25	16	31
27	902	1132.001	1410	1096.999	1636	1558
28	1693	2323	2802	2902	2214	3935
29	0	0	2	0	0	0
30	1.002	0	2.764	0	1.001	0
31	300.999	222	280	242	241	446
32	2247.291	1017.336	2459.195	1740.579	3345.871	2968.633
33	0	1	3.002	0	0	2
34	0	3	2	3	5	2
35	70.134	102.644	200.131	124.151	160.611	94.679
36	45	45	63	41	72	25.001
37	5	0	3	3	2	7
38	91	46	143	68	165	117
39	139.203	92.191	180.292	195.15	186.65	159.093
40	21.01	18.021	20.012	20.168	15.187	20.223
41	280	219	357.999	213.999	380	284
42	1.067	1.101	3.009	0	1	1
43	419	512	425	439.999	261	893
44	0	0	0	0	0	0
45	294	171	323.166	133	393	354.919
46	2334.124	1527.788	2621.97	2114.138	3727.264	3405.566
47	343.567	198.359	313.517	318.076	647.019	418.762
48	5958	3683	7884	5559	8090	8873
49	961	532	1192	746	1530	1306
50	88	132	187	134	261	150
51	68	123	137	114	112	132.999
52	31	18	39	36	46	48
53	47	46.001	43	64	65	70
54	2213	773	1356	2271	2177	5627
55	92	28	98.999	51	108.001	103
56	36	50	49	84	67	89
57	24	36	30	46	110	49
58	7.646	10.015	7	8.638	10.407	4.325
59	41.709	44	55	48.112	55.015	59.253
60	1073	852	1498.034	1006.999	1863	1555
61	1599.492	1634.253	2323.181	1478.857	1758.857	1889.438
62	346	483	508	499	613.999	624
63	330.679	318.801	447.692	372.956	544.694	551.346
64	2994.893	3352.676	4588.711	3451.754	4460.374	4881.889
65	239	377.999	440.999	382.999	442	460.001
66	13	19	24	22.001	11	27
67	54	38.999	48.001	59	83	116
68	1017.001	788	1059	1034	1746	1716
69	1223	1401.999	1764.999	1257.001	1950.999	1608
70	1	0	0	0	0	0
71	587.622	536.561	713.068	637.196	845.802	793.345
72	1632	925.999	1380.999	1959	972	5141
73	4.974	9.424	3	0	5.052	2
74	0	3	0	0	0	0
75	1332.005	1948	1885	1668	1715.004	2085
76	19.071	12.027	6.312	28.087	23.995	36.11
77	23	20	32	27	38	32
78	7	3	6	2	7	8
79	19	7	2	14	23	30
80	2512	1786	3274	2614	4409.001	4230
81	0	0	0	0	2	0
82	401	516.046	646.043	469	709.781	635.136
83	3500	4089	5279.001	3041	4720.999	3810
84	2224.999	2252	2994.958	2349.999	3131.333	3765.863
85	38	69	88	42	84	54
86	572.999	357	719	420	788	794
87	1584.001	895.001	1825.998	811	1502.998	1425.999
88	293	352.95	446	216	418	399.003
89	962	327	932	627	934	1566
90	690	341	728.001	569.001	987	1426
91	11	1	2	13	10	30
92	133	84	153	138	163	219
93	3841	1696	4326	2888	6343.999	4554
94	2.522	1.002	3.911	12.03	0	15.06
95	807.003	984.092	1165.015	952.692	1436.701	1247.378
96	0	2	1	2.478	5.421	6.272
97	3072	5095.496	5526.016	4661.77	4781.999	5782.009
98	125	76	89	59	101	63
99	2178.209	3142.244	3769.48	2478.313	3968.609	3427.015
100	11.893	5.561	16.468	8.348	10.218	10.489
101	790	1150	1263.001	1323	1024	1460.999
102	13419	10295	16462	13247	19757	16629
103	546.299	553.609	800.65	651.51	951.571	925.399
104	1180.999	748	1481	994.001	1587	1620.999
105	0	0	0	1.068	6.124	2.027
106	0	0	0	0	1	0
107	2.078	3.818	5	6.002	6.061	7.15
108	2000	1324	3002	1404	3035	2575
109	2615.291	2397.123	2423.42	2294.146	3641.11	4188.238
110	2	1	4	4	1	2
111	100	158	84	333.001	43	459.999
112	48	56	88	66	70	53
113	44	32	45	41	62	66
114	7	11	15	19	28.718	20.032
115	29	24	27	51	34	64
116	0	0	0	1.133	0	1
117	23.775	8	56	48	28	33.001
118	543	367	633	565	837	944
119	2804	2357	3387	2529	4074	4020.115
120	0	0	2	0	0	0
121	58	50	33	65	82	57
122	0	1.412	0	0	0	3.644
123	75	32	83	54	46.001	90
124	705.002	579.018	952.999	803	1106	1273.996
125	16.139	19.285	25.544	38.272	33.559	39.18
126	2235.195	3370.879	4025.411	3636.796	3509.349	3894.161
127	1905	1927	2595	2104	2916	2877.999
128	619.999	714.001	986	839	1237	1075
129	171	70	75.001	197	26	679
130	533	564	898.999	597.681	980.999	760.194
131	2	1	3	2	0	2
132	544	525.999	735.999	537	805.001	658
133	86	48	129.999	85	122	84
134	8909.983	7047.091	12055.992	7836.926	12612.624	13325.448
135	16.002	8	25.027	14	20	20
136	155	81	137	190	190	206
137	22	14	10	45	6	85
138	1335.001	869	1398.001	1153.001	1785.999	1760.999
139	5111.999	4855	6088	6072.999	6950	7729
140	87	98	129	108	113	99
141	15	22	17	50	47	13
142	569.461	371	586.432	625.999	843.947	1195.577
143	1984	1297	2322	1810	2939	3262
144	1251.999	1597	2074	1588	1727	2015.001
145	1423.57	1293.056	1791.577	1424.57	2113.325	2379.653
146	16.001	2	18.001	11	11	14.999
147	0	0	0	0	0	1
148	966.532	916.425	1144.674	952.914	1162.045	1584.974
149	2052.999	1476	2580	1767	2793	2781
150	49	71	88	79.001	94.999	93.001
151	0	0	0	1	0	0
152	577.999	353	664.003	534	1003.001	881
153	1567.551	2050.307	2160.144	1861.634	2373.755	2244.881
154	7	4	2	3	1	6
155	1307.067	1162.58	1809.214	1226.401	1835.201	2284.601
156	141.999	154.999	211.001	136	213.999	227
157	486	564	857.999	504	715	589
158	814	896	1488.001	1602	2579	2017
159	5	10	18	3	8	17
160	68.601	49.709	10.142	43.713	78.182	69.977
161	1315.85	609.516	1528.236	1528.256	2552.27	3061.472
162	1034	881.001	1339	1045.999	1010.001	1896
163	792	735	1088.999	783	1095	1004
164	211.202	189.68	261.412	246.118	285.916	332.021
165	5	10	74	15	27	13
166	0	0	1	1	0	1
167	37	31	69	45	87	66
168	985.151	1304.413	1398.32	1266.366	1553.155	1582.656
169	2273.001	2485	3198.52	2558	3329	3345.844
170	924.001	883.001	1159	1132	1343	1497
171	54	107	136	112	98	99
172	2	8	11	7	10	7
173	16	26	39	25	32	27
174	10553	16482	24111	14777	17152	16560.999
175	7	2	11	10	3.011	4
176	103	124	256	142	198	141
177	291	288	393	312	476	431.999
178	768	417	984	889.999	1323	1370.999
179	108	153	188.999	175	185.999	163
180	1510.999	1459.001	2032	1373	2147	2147
181	186	285	451	336	535	312
182	478.999	658	784.999	694.001	972	970.999
183	680	1048	992	1114	911	1602
184	250.174	177	336	251.604	345.279	279
185	402	271	503	270.001	446.998	422.999
186	5	1	12	7	7	9
187	582	400.999	737.999	540.999	923	819.999
188	1733	896	1956	1340	2666	2216
189	6	1	7	22	23	37
190	6328.964	5956.982	8361.993	5650.993	8538.988	7869.972
191	920.244	1137.35	1363.076	1270.371	1358.402	1678.027
192	0	0	0	0	0	0
193	1406	2069	2138.001	1709	1719	2030
194	242	80	118	361	131	635
195	107	87	151.999	121	227.999	171
196	12326	18152	21999	13099	19407	14567
197	973.016	988.642	1414.623	1204.123	1541.187	1652.386
198	27	29	71	30	52	28
199	115	128	277	186	250	241
200	134	205.516	217.999	205	177	234
201	452.731	206.716	449.923	398.736	720.248	715.433
202	832.654	456.207	992.674	657.977	1141.28	1006.569
203	588	460.001	586	504	763.999	804
204	313	191.001	268.204	268	457.001	419
205	129	80	48.085	202.999	11	451
206	400	248	483	387	575	618
207	624.011	544.079	775.038	681.097	954.023	987.27
208	489	643	945	664	761.999	796.001
209	225.739	245.625	300.792	283.852	367.344	271.968
210	3.02	0	2	0	1.008	0
211	216.93	191.699	292.292	224.493	364.101	451.456
212	13024	15804	18331	15222	17820	19407.001
213	1733.001	1111	1835	1809.001	1940.002	3409.999
214	7	7	5.771	4	8	21.646
215	66	47	80	44	97	142
216	424	508.993	511	549.571	898.464	654.001
217	562	595	801	553	922	950.001
218	281.746	309	524.001	365.573	486.319	296
219	756.992	677	741	1081.001	1002.974	1770.994
220	1009	873	1524.001	976	1671.999	1337.001
221	616.999	416	290	824.001	67	2418.001
222	0	0	0	0	1	0
223	2261	2765.725	3603	2201.699	3549	3248.738
224	1554.001	898	2074.999	1341	2684	2179
225	57.999	36	109	87	124	114
226	307	449.001	581.001	388.56	473	513
227	240	153	283	223	455	353
228	1339.555	2746	2644.211	2605.176	2025.184	2487.758
229	729	392	752	552	1157	743
230	252	456	474.97	343	482	442
231	2212.94	3445.082	3601	2996	3795.022	2849.933
232	839.663	683.032	1025.411	715.591	1008.038	1194.004
233	28	22	30	101	104	83
234	380	212	486	171	265	428
235	484	315	581	492	411.001	892
236	2	3	0	8	11	5
237	463	519	670.001	563.001	697.001	840
238	517.452	556.026	659.035	608.902	827.004	877.004
239	852	1312.999	1452	1142	1471	1482
240	1386	1789	2087	1554	2054	2279
241	336.579	563.616	530.892	619.336	385.69	653.604
242	1540.014	1182.645	1995.967	1385.788	2933.446	2073.201
243	3752.007	4843.943	5522.079	4602.212	5969.131	5932.09
244	5037.716	3949.962	6897.414	4594.134	7302.886	7055.638
245	2241	1633	2769.999	1966.999	3497	3384.999
246	319.999	218	303.41	301.532	384.001	476.159
247	4460.99	4788	6237.002	4693.851	6544.001	6778.999
248	1081.001	407	509.999	1000	663	2691
249	160	126	186	290	289.999	441
250	3921.001	3632	5058.999	4279	6142	5997
251	1793	1427.624	2474.08	1689.767	2554.343	2933.458
252	2	3	2	4	5	3
253	1052.134	1214.104	1445.707	1259.719	1482.427	1555.785
254	674.036	683	749	931.176	991	2047
255	3281.001	3535.001	4821	3531.001	4918	4821.999
256	530.98	749	999	826	1362.492	934.001
257	996.006	702.003	1227.791	812.686	949.77	1765.69
258	9	2	5	10	12	5
259	0	0	0	0	0	0
260	6.859	2.26	1.918	0	5.618	0
261	9.834	8.823	19.766	11.249	5.059	9.787
262	103.001	127.944	161.001	83	154	153.001
263	7595.999	1522	2611	21401	1907	26452.001
264	3358	1247	3593	3073	5946.999	4846
265	1	0	0	4	0	7
266	814	560	717	836	1351	1156
267	95	97	99	203	191.001	207
268	158	191.075	288.76	241.047	275.807	301.162
269	10	0	10.999	17.029	19	15.56
270	169.03	188.02	222.751	219.898	312.123	304.179
271	389	429	516	411.002	602	518
272	7226.025	9755.973	11227.886	10168.047	14506.061	10545.423
273	887.717	805.688	1135.653	748	965.051	1016.011
274	8475.826	7691	10254	7047.001	12321.073	9442.168
275	553	318.999	646.999	1252	928	898
276	8	9	15	6	15	9
277	3	1	15	3	3	3
278	730.76	660.471	882.221	726.872	954.467	1032.589
279	1446.999	1079	1516	1362	1754	2341
280	35	32	88	72	50.569	83
281	35	81.999	62	58	88	83.999
282	64	94	48	170.999	16	290
283	8.733	2	6	7	11	8.207
284	2730	2068.987	4040	2690	3707.001	3284.966
285	468.752	375.127	789.825	427.338	735.52	629.31
286	982.01	934.09	1436.038	846.07	1630.082	1383.017
287	415.557	497.643	690	647.996	617.015	822.001
288	16	10	2	31	50	24
289	2	2	1	1	0	5
290	9.016	24.057	19.13	62.021	10.035	57.138
291	18	9	24	24	5	37
292	82.001	75	21	203.001	13	315.999
293	172	207	130.559	226.019	124	366.999
294	317	548	530.358	544	473	637
295	1	0	0	0	0	0
296	150	92	181	137	171	327
297	697.845	1031.827	1197.001	895.001	1115.746	1204.808
298	1142	956.001	1668	1257	1485	1825
299	800	711	1050	764	1200	1020.999
300	455	714	841	613	696.999	734
301	7840.999	7944	12357	8128	14148	10794.999
302	26	26	11	135	12	178
303	7	39	41	25.006	31.029	24
304	441.66	288.075	704.803	519.669	885.396	723.973
305	918	474	1310	802	1549	1552
306	362.999	418	449	449	513	652.001
307	227.67	168.832	225	395	245	636.821
308	606.002	618.005	1035.999	516	807.179	728
309	764	846	1160	845	1238	1162
310	385.745	278.07	425.194	419.522	507.999	690
311	0	0	0	0	0	0
312	914.093	1037.819	1663.718	1232.515	1589.733	1802.093
313	1640	2175	2627	1994	2550	2685
314	357	441	491	399	621	559
315	531.999	482	635	366.999	469.999	544
316	3628	4473	5419.999	3922.001	5921	5007
317	40	28	43	54	63	141
318	6	4	15	3	8	13
319	0	0	0	0	0	0
320	9	5	9	12	30	13
321	0	0	0	0	2	0
322	2671	2638	2872.994	3263	1962	6783.999
323	513.999	477	667	516	757	735.99
324	3038	3103.052	4286.367	3344.062	4605.999	5113.062
325	302	254.999	414	350.999	495	440
326	6913.971	7301.98	11111.975	8319.07	11171.966	11485.984
327	629	468.028	721	543	919	812.023
328	3776	3711	7042.001	5222	8547	7621
329	16	2	12	4	14	12
330	269.427	91.13	366.405	347.173	301.278	496.671
331	4709	6083.001	6626	5341	6794	7597
332	50	60	42	37	99	102
333	604.491	691.542	933.002	671	1006.486	835.998
334	1055	585	1119	852.704	1179.573	1716.963
335	78	38	62	97	148	95
336	423	248	420	757	993.001	878
337	3255.385	3989.528	4504.197	3692.732	5395.039	5083.855
338	180	57.113	163.26	140	460	250.19
339	971.035	424.001	1145.04	825.005	1347.017	1275.999
340	56	40	108	95.001	88.999	65
341	3346	1999	4163	2514.001	4606	3964.999
342	87	119	87	94	119	103
343	799	1057	1316	1016	1389	1319
344	713.329	817.8	1013.258	838.325	1222.8	1043.339
345	179	191	212	162	221	231
346	110.364	14.152	45.189	23.071	60.527	98.305
347	20	7.008	20.043	37.234	6.008	40.04
348	0	1	0	0	1	0
349	1608	979	1675	1219	2608	2068.163
350	178.146	99.532	184.29	158.586	296.027	253.088
351	524	879	965	674	788	788
352	11	20	12	34	37	46
353	2	0	4	11	2	12.001
354	1004.001	1430.999	1530.001	1404.998	1576	1728.999
355	46	69	63	57	36	119
356	3663	3941	6447	4164	4464	4849
357	6581	5836	8483	6399	8034	8681
358	894	979.001	1262	1010	1143.001	1501
359	99	158	226	97.001	189	111
360	777	211	627	470	964	780
361	561.998	782.679	859.703	638.261	859.778	844.996
362	31	24	52	40	28	79
363	4	4	2	4	13	1
364	354	596.001	602.999	427	529.999	552.001
365	2157.885	1771.626	2499.193	1831.699	3030.012	2830.783
366	443.185	382	601.411	444.001	616.793	564.197
367	11	18	6	17	20	8
368	840	953	1139	1056	1244	1300
369	149.443	188.58	263.446	253.009	255.863	373.635
370	2031	2596.999	3095	2573	2813	3242
371	109	170	140	301	307	265
372	111.008	86	212.007	170.001	219.012	109.002
373	128	91	158	121	185.999	172
374	39	23	54	23	35	37
375	1818	2750.001	2927.001	2495.999	2629.999	2902.001
376	866.847	522.729	1124.817	768.8	1286.014	1274.842
377	2	3	4	3	9	10
378	685.001	447	922.999	698.999	1030.001	1119
379	252	139	262.999	206	269	337
380	151	209	174	335	120.999	531.999
381	86.157	100.271	162.397	132	151	173
382	57	71	119	60	61	68
383	1228	1457.91	1769	1316	1944.001	1688.999
384	1455	1160	1770.001	1256	2008.001	1922
385	2	3	3	4	5	2
386	105.338	140.971	185.454	360.008	198.449	656.442
387	615.887	756.053	870.323	764.04	952.027	1105.529
388	226	224	287	271.001	356.036	308
389	343.702	340.255	487.136	429.364	620.354	583.456
390	1293	722.001	1329	1031	1729.999	1908
391	1519.877	1046.947	1392.554	1606.074	1943.445	2977
392	35	17	39	24	51	37
393	4297.001	5439	6963	5153	6919	6458
394	0	0	0	0	0	0
395	864.974	668.673	750.614	934.301	1514.509	1287.91
396	845	803	1290	769	1699.919	1102
397	33	72	54	61	100	61.001
398	17219	8131	17115	11921.999	19854	23643.001
399	1375.764	517.076	1361.975	871.235	1742.108	1614.189
400	30	40.999	55	50	75	67
401	418.001	343.999	621.073	428.11	637.834	565.727
402	377	487	612	450	506	592
403	278	278	369.002	186	260	363.999
404	440.999	410.131	586.331	623	691.001	727.501
405	985	1115	1483	1043.999	1703	1437
406	2630	3121.001	3923	2566	2912	3585.001
407	1523	1709.999	2019	1674	2562	2296.402
408	1605.79	1190.842	2225.754	1703.636	2583.852	2729.752
409	379.999	349	330	463	227	932
410	1174.015	1012.146	1582.372	1058.262	1552.876	1450.389
411	380	575	572.428	462	545	575.838
412	579	757	870.001	743.999	835	1048
413	656	946	989.999	713	947	1002
414	1.101	0	4.195	2.002	0	2.077
415	475	357	671	470.999	725.002	746.001
416	184	208	231.001	239	301.001	339
417	266	345	519.834	364	419	442
418	68.979	53.843	91.063	80.26	74.442	197.192
419	4234	4549	5801	4204	6117	6507
420	1260.074	1329.399	2023.59	1371.669	2081.531	1782.821
421	741	1304	1292.001	1150	1025	1131.999
422	69.019	28.477	50.653	112.529	242.323	133.349
423	1201.999	1417.001	2172.999	1439.998	2454.993	2192.999
424	838	1269	1445	1367	1323	1319
425	103.999	123	236.002	152.002	213.009	170
426	316	357	482	313	598	511
427	1544	967	1937	1113.877	2469	1701
428	415.17	770.81	877.971	886.474	702.814	842.645
429	572.762	429.517	724.905	561.838	928.446	935.114
430	1276	1597	1695	1400	1699	2312
431	56.999	56	131.001	125.999	138.998	115
432	2.2	3.122	4.233	2.164	1.066	16.082
433	479	337	470	486	520	818
434	852.898	1384.246	1623.893	1251.616	1267.166	1477.836
435	139.003	123	239.999	118.008	272.994	248.019
436	661.999	524	874	518	963.001	552
437	865.842	765.074	1107.004	738.598	1449.716	1105.461
438	30	74	95	31	54	34
439	159	196.001	391.999	160	218.001	220
440	2576	3440.999	4007	3066.001	3588	3965
441	1765.001	1413	2210	1495	2779.92	2360.001
442	646.001	666	867.276	732.232	962.044	1024
443	56.019	102.678	99.02	197.103	268.132	126.022
444	66.125	44.524	36.289	60.376	33.929	225.647
445	623	870	967	953	762	1214
446	1	3	0	1	0	0
447	653.999	474	948	877.001	1547	1298
448	627.812	684.209	1050.005	759.955	1403.666	1200.46
449	573.999	435	677.001	542	933.001	867
450	48.508	42.039	62	73.003	101.043	108.557
451	322.002	361.999	561.001	320	504.998	435.998
452	0	0	0	1	2	0
453	263	342	414	291	351.999	438
454	936	1246	1315	900	1378	1290
455	569	696	949	698	795	982
456	108	183	236	163	170	175
457	0	0	0	0	0	0
458	24.017	17.001	26.88	27.081	35.689	28.43
459	662	903.001	958	859	869	984
460	21	15	41	42	54	29
461	29.929	48.909	52.733	49.672	92.681	58.519
462	1748.103	1693.452	2434.269	1809	2928.339	2184.088
463	851.666	969.541	1365.498	1114.993	1206.139	1230.812
464	196	291	313	296	247	374
465	190	163	268	273	237	334
466	781.312	555.264	1144.552	682.777	1163.978	1042.489
467	1740	1552	2338	1970	2811	2727
468	1753.66	1213.425	2217.636	1419.326	2566.001	2260.016
469	774	860.999	1122.999	899	1346.999	1462.001
470	1026.001	1234	1338.001	1010	1208	1568.999
471	803.001	1220	1365	1146.999	1417	1317.751
472	2	4	0	0	2	2
473	32	24	42	49	61	52
474	2726.001	2360	4182.999	3019	4298	4416.001
475	192.383	177.725	208.138	293.17	238.127	536.091
476	33	39	56	26	40	44
477	409.001	226.001	292.999	434.001	968	611
478	64	80	84.999	98	120	118
479	203.999	301	305	364	267	382.999
480	249	218.873	533.004	492	650	692
481	1916.001	1761	2471	1757.001	3045	2845
482	208	198	323	211	363	360.999
483	1025	1070	1587	1165	1732.001	1359.001
484	94.001	145	155.999	128	163	177.999
485	51	22	34	77	130	123
486	900.915	1067.665	1301.003	821.377	1417.657	1134.076
487	223.258	276.024	289.923	309.02	532.455	431.156
488	1577.026	1883.899	2332.952	1791.335	2449.001	2450.576
489	1682.999	1487	2723.001	1839	2640	2232.999
490	427.919	451.859	668.62	442.303	659.96	628.678
491	903	628	1288	1059	1555	2156
492	536.137	610	652	788.002	901.001	1175
493	825.999	683.002	1026.002	899	1097.001	1371.001
494	707.062	692.863	1185.331	846.182	1270.969	1207.009
495	243.001	145	311	197	369	465
496	273.102	162.844	347.581	242.817	392.06	449.174
497	8692	3151.001	10627	7812	12934	8753
498	7	9	7	25.999	11	29
499	104	89.999	135	98.999	140	207.999
500	0	0	0	0	0	2
501	683.001	604	977	394	596.999	613
502	690.999	569	890	644	940.001	997.272
503	650	808	978	780.999	967.999	1028
504	3815.155	3344.484	3821.032	4047.417	5128.872	7114.15
505	431.001	501	720	465.998	693.001	655.999
506	1229.757	1213.75	1482.465	1393.245	1893.048	2089.039
507	850	398	516	1039	398	2734
508	3085.001	1829	3632.999	2772	4493.999	4582.001
509	149	104.132	285	163.034	285.999	245.063
510	1100.999	1339.001	1564	1285	1714.989	1619
511	6392.999	4871	4454	8010.001	1346	26454
512	623	899.222	421	1414	38	2444.008
513	2744.908	2587.999	4106.939	3053.857	4341.032	4560
514	285	233	422	292	603	353
515	1071	888	1521.999	1338	1624	1734
516	1246	924	2074	1377	2029	1413
517	765	989	1138	1019	1228.001	1301
518	2026.248	2722.487	3477.495	2538.462	3013.636	3192.95
519	4100.795	5275.108	5763.151	5634.534	5448.631	5818.774
520	1295.827	1759.774	2167.789	1707.496	2055.239	2244.541
521	967	1169	1150.001	1003	1057.999	2023.001
522	0	0	0	0	0	0
523	699	880.001	1022	1286	1140	1407.999
524	1236	1127	1701.999	1198	1993.886	1839
525	45	33	68	42	84	78
526	2297	3698	3946	3091.001	3854	3978
527	461	529	679.999	549.999	630.999	903.999
528	542.001	383	637.972	439	965.002	811.924
529	118	108	110	127.999	93	269.001
530	2208	2113	2987	2417.001	3225	3273.001
531	618.999	670	934.001	479	844.001	637
532	520.001	598	717	599	728	957
533	1077.104	502.51	1031.782	807.244	1335.721	2052.381
534	701	494	770	528	894	965
535	7446.47	11506.734	13967.113	8384.73	11749.423	9796.972
536	1134	629	1329.001	1235.999	1972.762	1845.999
537	683.999	786.999	1120.001	768.001	1009.001	1021
538	126	193	226	156	190	223
539	60.063	61.741	136.493	86.809	73.612	130.342
540	266	352	507	299	402	420
541	1844	2135	2896	1824	2994	2810
542	4	10	14	10	9	11
543	145	158	204	145.991	210.952	210
544	2480.928	1572.271	3049	2243.001	3863	3548.223
545	6	4	4	5	3	9
546	163.519	107	187.537	132.284	276.737	203.088
547	1420.485	991.99	1528.433	1309.502	2123.731	2087.595
548	767	959.999	1144.999	973	1378	1207
549	931	1318	1328	1233.999	1577	1668.001
550	1143	1443	1990.002	1255.001	1916	1705.999
551	91	122	130	84	101.001	109
552	10.999	10.999	12	14	18	23
553	2	4	13	5	3	5
554	19	12	19	21	19	35
555	25	41	73	21	41	31
556	784	1179	1382	1053	1266.999	1175.999
557	1038.001	948	1328	944	1417	1387
558	901.565	1164	1190.002	1191.005	1018	2086
559	3897	1004	3626.999	2245	4550	5016.088
560	13	4	21	6	25	23
561	668	607	956.001	660	893	996
562	2096	2050	3299.001	2434.999	3749.999	3355.999
563	1054	1200	1580	1268.999	1578	1977
564	1731	1443	2539	1562	2954	2332
565	837	730	1494	683	1225	803
566	1	1	4	0	0	4
567	1037.048	984.129	1476.464	968.173	875.073	1387.981
568	859.879	900.713	1283.057	879.99	1473.543	1417.649
569	2487	1492	3154	2056.001	2875.999	3295
570	61	48	65	69	141.035	118.021
571	11	25.258	11.734	8.407	23.141	21
572	2730.001	2818.999	4177	3006.001	3815.999	4168
573	416.967	221	454.834	458.958	888.89	608.901
574	4907	2776	5966	3981	5989	6241.999
575	13.013	4.002	6.005	17.018	42.07	21.019
576	65	56	89	110	88	81.001
577	22	7	11	31	72	27
578	3273.907	1969.806	2155.879	3474	764.001	11332.001
579	886.011	915.999	1102	794.035	1135.999	1133.256
