	NG-16677_M53_iso_preg_placenta_lib271061_6029_8_1_counts	NG-16677_M55_aly6g_preg_placenta_lib271064_6029_8_1_counts	NG-16677_M56_aly6g_preg_placenta_lib280131_6085_1_1_counts	NG-16677_M62_iso_preg_placenta_lib271062_6029_4_1_counts	NG-16677_M63_aly6g_preg_placenta_lib280132_6085_1_1_counts	NG-16677_M65_iso_preg_placenta_lib280130_6085_1_1_counts
ENSMUSG00000000001.4	7896	8231	11529	8170	12112	12089
ENSMUSG00000000003.15	0	0	0	0	0	0
ENSMUSG00000000028.15	149	169	217	243	329.004	261.039
ENSMUSG00000000037.17	6	6	2	2	2	7
ENSMUSG00000000049.11	363	119	67	509	16	1494
ENSMUSG00000000056.7	719	702	952	745	980	1270
ENSMUSG00000000058.6	198	224	238	241	336	286
ENSMUSG00000000078.7	6153.999	4114	9063	5280	9399	9016
ENSMUSG00000000085.16	231	190	307	251.001	331.999	392.998
ENSMUSG00000000088.7	1940	2921.65	3431	2890.903	2995.894	3302
ENSMUSG00000000093.6	212	181	295	180	169	455
ENSMUSG00000000094.12	21	28	38	28	31	21
ENSMUSG00000000103.12	0	0	0	0	0	0
ENSMUSG00000000120.6	19.094	22.159	17.144	22.245	24.126	47.339
ENSMUSG00000000125.5	17	4	20	8	21	22
ENSMUSG00000000126.11	56	25	44	63	98	96
ENSMUSG00000000127.15	1049	1120	1603	952	1515.999	1329
ENSMUSG00000000131.15	1108	956.999	1635.226	1163.085	1972.054	1661.641
ENSMUSG00000000134.17	687	594	925.001	719	1078.999	1166
ENSMUSG00000000142.15	197	117	248	252	481	306.001
ENSMUSG00000000148.17	443	320	498	379	635	584
ENSMUSG00000000149.10	1836	1095.976	2063	1436	2694	2719
ENSMUSG00000000154.16	732	802	534	1180	989	1745
ENSMUSG00000000157.16	0	1	2	0	0	0
ENSMUSG00000000159.16	63	44	38.363	139	17	231
ENSMUSG00000000167.14	14	20	20	25	16	31
ENSMUSG00000000168.9	902	1132.001	1410	1096.999	1636	1558
ENSMUSG00000000171.5	1693	2323	2802	2902	2214	3935
ENSMUSG00000000182.9	0	0	2	0	0	0
ENSMUSG00000000183.6	1.002	0	2.764	0	1.001	0
ENSMUSG00000000184.12	300.999	222	280	242	241	446
ENSMUSG00000000194.13	2247.291	1017.336	2459.195	1740.579	3345.871	2968.633
ENSMUSG00000000197.8	0	1	3.002	0	0	2
ENSMUSG00000000202.9	0	3	2	3	5	2
ENSMUSG00000000204.16	70.134	102.644	200.131	124.151	160.611	94.679
