Gene_ID,Symbol,Annotation_RM
ENSMUSG00000028158,Mttp,Lipid Metab
ENSMUSG00000002985,Apoe,Lipid Metab
ENSMUSG00000020609,Apob,Lipid Metab
ENSMUSG00000035237,Lcat,Lipid Metab
ENSMUSG00000025203,Scd2,Lipid Metab
ENSMUSG00000018796,Acsl1,Lipid Metab
ENSMUSG00000021364,Elovl2,Lipid Metab
ENSMUSG00000021696,Elovl7,Lipid Metab
ENSMUSG00000052396,Mogat2,Lipid Metab
ENSMUSG00000030747,Dgat2,Lipid Metab
ENSMUSG00000024978,Gpam,Lipid Metab
ENSMUSG00000010601,Apol7a,Lipid metabolism
ENSMUSG00000027690,Slc2a2,Carbohydrate and Glucose
ENSMUSG00000011034,Slc5a1,Carbohydrate and Glucose
ENSMUSG00000068587,Mgam,Carbohydrate and Glucose
ENSMUSG00000038178,Slc43a2,Amino acid/Peptide Transport
ENSMUSG00000030492,Slc7a9,Amino acid/Peptide Transport
ENSMUSG00000024131,Slc3a1,Amino acid/Peptide Transport
ENSMUSG00000020264,Slc36a2,Amino acid/Peptide Transport
ENSMUSG00000025557,Slc15a1,Amino acid/Peptide Transport
ENSMUSG00000029368,Alb,General Nutrient transport function
ENSMUSG00000032978,Guca2b,General Nutrient transport function
ENSMUSG00000030895,Hpx,Iron & Zinc transport
ENSMUSG00000027015,Cybrd1,Iron & Zinc transport
ENSMUSG00000038600,Atp6v0a4,Iron & Zinc transport
ENSMUSG00000032554,Trf,Iron & Zinc transport
ENSMUSG00000031209,Heph,Iron & Zinc transport
ENSMUSG00000025993,Slc40a1,Iron & Zinc transport
ENSMUSG00000063354,Slc39a4,Iron & Zinc transport
ENSMUSG00000053897,Slc39a8,Iron & Zinc transport
