	NG.16677_M53_iso_preg_placenta_lib271061_6029_8_1	NG.16677_M55_aly6g_preg_placenta_lib271064_6029_8_1	NG.16677_M56_aly6g_preg_placenta_lib280131_6085_1_1	NG.16677_M62_iso_preg_placenta_lib271062_6029_4_1	NG.16677_M63_aly6g_preg_placenta_lib280132_6085_1_1	NG.16677_M65_iso_preg_placenta_lib280130_6085_1_1	gene_name	ENSEMBL.tag
ENSMUSG00000000001	7896	8231	11529	8170	12112	12089	guanine nucleotide binding protein (G protein), alpha inhibiting 3	Gnai3
ENSMUSG00000000003	0	0	0	0	0	0	probasin	Pbsn
ENSMUSG00000000028	149	169	217	243	329.004	261.039	cell division cycle 45	Cdc45
ENSMUSG00000000037	6	6	2	2	2	7	Scm polycomb group protein like 2	Scml2
ENSMUSG00000000049	363	119	67	509	16	1494	apolipoprotein H	Apoh
ENSMUSG00000000056	719	702	952	745	980	1270	nuclear prelamin A recognition factor	Narf
ENSMUSG00000000058	198	224	238	241	336	286	caveolin 2	Cav2
ENSMUSG00000000078	6153.999	4114	9063	5280	9399	9016	Kruppel-like factor 6	Klf6
ENSMUSG00000000085	231	190	307	251.001	331.999	392.998	sex comb on midleg homolog 1	Scmh1
ENSMUSG00000000088	1940	2921.65	3431	2890.903	2995.894	3302	cytochrome c oxidase subunit 5A	Cox5a
ENSMUSG00000000093	212	181	295	180	169	455	T-box 2	Tbx2
ENSMUSG00000000094	21	28	38	28	31	21	T-box 4	Tbx4
ENSMUSG00000000103	0	0	0	0	0	0	zinc finger protein 2, Y-linked	Zfy2
ENSMUSG00000000120	19.094	22.159	17.144	22.245	24.126	47.339	nerve growth factor receptor (TNFR superfamily, member 16)	Ngfr
ENSMUSG00000000125	17	4	20	8	21	22	wingless-type MMTV integration site family, member 3	Wnt3
ENSMUSG00000000126	56	25	44	63	98	96	wingless-type MMTV integration site family, member 9A	Wnt9a
ENSMUSG00000000127	1049	1120	1603	952	1515.999	1329	fer (fms/fps related) protein kinase	Fer
ENSMUSG00000000131	1108	956.999	1635.226	1163.085	1972.054	1661.641	exportin 6	Xpo6
ENSMUSG00000000134	687	594	925.001	719	1078.999	1166	transcription factor E3	Tfe3
ENSMUSG00000000142	197	117	248	252	481	306.001	axin 2	Axin2
ENSMUSG00000000148	443	320	498	379	635	584	BRCA1-associated ATM activator 1	Brat1
ENSMUSG00000000149	1836	1095.976	2063	1436	2694	2719	guanine nucleotide binding protein, alpha 12	Gna12
ENSMUSG00000000154	732	802	534	1180	989	1745	solute carrier family 22 (organic cation transporter), member 18	Slc22a18
ENSMUSG00000000157	0	1	2	0	0	0	integrin beta 2-like	Itgb2l
ENSMUSG00000000159	63	44	38.363	139	17	231	immunoglobulin superfamily, member 5	Igsf5
